Name,Description,TypeId,Price,PictureUrl
3DBenchy,"The 3DBenchy appears to be nothing more than an adorable plastic boat, but it’s more than that. This little guy was designed specifically to test the limits of your machine and calibrate it to operate optimally. It’s one of the simplest—and most useful—3D printer projects you can start with.",3,172,pictures/products/95.jpg
Survival Whistle,"Next in our list of cool things to 3D print is a simple project that can be completed in approximately one hour and will produce a whistle. It can produce an eye-popping 118db sound, perfect for camping or sporting events.",2,144,pictures/products/168.jpg
Sunglass Visor Clip,A handy and practical creation—and one of the simplest 3d printer designs on the list—this quick-to-create project allows you to affix your sunglasses to the visor of your car.,3,101,pictures/products/169.jpg
Earbud Case,"If there’s one thing we can all agree on, it’s that earbud cords are a pain in the butt to keep organized. They constantly get tangled and eventually produce the dreaded earphone-crackle, rendering your treasured music-makers useless. This is a great example of what you can make with a 3D printer that can improve your everyday life.",3,296,pictures/products/283.jpg
Carabiner,"This carabiner is surprisingly durable, with a strong frame and a flexible hinge. It can withstand up to 30kg of weight, which is pretty substantial for rendered plastic! Don’t, however, be tempted to use this to support your own weight, as they are not designed to support that much strain.",5,302,pictures/products/301.jpg
Flexi Rex,"A simple toy originally created for Settlers of Catan, this project is durable and (in our opinion) cute. This is one of those 3D printer projects you could use in a few ways: gaming, office desk decoration, children’s toy, you name it! Plus, T-Rexes are (always!) cool.",4,349,pictures/products/352.jpg
Key Holder,"Inspired by Swiss Army Knives, the Proteus Key Holder is a wonderful pocket device that will keep your keys all organized in a logical fashion. Hands-down one of the best things to 3D print, thanks to all the time you’ll save fishing through your pockets.",1,339,pictures/products/356.jpg
Pencil Holder,"Organize your desk, and add a little flair at the same time! With these simple 3D printer designs, you’ll have all you need to generate truly unique desktop organizers that not only keep your stuff where it needs to be but look cool as well. You can 3D print a pencil holder that is unique to your own personality and have others mistaking your pencil holders again.",2,289,pictures/products/362.jpg
Headphone Stand,"Get your headphones off your desk and onto a specially crafted hanger of your own design. Great for home and the office, these are the kinds of simple and effective 3D printer ideas that can make a big impact with very little effort.",3,46,pictures/products/423.jpg
Bowl,"With a 3D printer you’ll be able to replace your dinnerware with new and original 3D printer designs in no time at all. Take this blueberry-themed bowl, for example. Why stop there? There are numerous other designs for plates and bowls out there to make eating at home a unique experience.",5,47,pictures/products/445.jpg
